id,SumRetrait,CountTransaction,ConsommationHier,MSemaineDernier,MSemaine7,ConsoMmJrAnP,ConsoMmJrMP,ConsoMMJrSmDer,MoyenneMoisPrec,MoyenneMMSAnPrec,MoyenneMMmAnPrec,ConsommationMaxMDer
431,118900,239,145500,852,772,197100,126600,206100,760,844,768,224000
432,85000,209,118900,852,746,124100,82400,144700,760,844,768,224000
433,127100,309,85000,753,753,84900,127300,143300,760,721,768,224000
434,101500,308,127100,753,738,157100,132600,419300,760,721,768,224000
435,123700,294,101500,753,703,128900,143600,200600,760,721,768,224000
436,103700,234,123700,753,696,131700,116700,152900,760,721,768,224000
437,116700,257,103700,753,685,127100,119800,145500,760,721,768,224000
438,88100,230,116700,753,663,146000,120000,118900,760,721,768,224000
439,35200,115,88100,753,639,105400,71900,85000,760,721,768,224000
440,91600,244,35200,644,640,73500,125500,127100,760,707,768,224000
441,116500,297,91600,644,634,143600,114800,101500,760,707,768,224000
442,129900,265,116500,644,648,123800,123800,123700,760,707,768,224000
443,124500,239,129900,644,663,111200,119900,103700,760,707,768,224000
444,97900,240,124500,644,667,132800,131700,116700,760,707,768,224000
445,85300,197,97900,644,664,126000,140800,88100,760,707,768,224000
446,54400,146,85300,644,666,96500,64900,35200,760,707,768,224000
447,113100,266,54400,686,690,89000,150800,91600,760,703,768,224000
448,233200,380,113100,686,758,208200,201100,116500,760,703,768,224000
449,191900,367,233200,686,781,199100,188200,129900,760,703,768,224000
450,211200,390,191900,686,806,207800,188200,124500,760,703,768,224000
451,222100,399,211200,686,827,206600,188200,97900,760,703,768,224000
452,211000,401,222100,686,849,262800,188200,85300,760,703,768,224000
453,121000,268,211000,686,854,187000,226000,54400,768,703,741,419300
454,131600,333,121000,872,865,146800,251100,113100,768,845,741,419300
455,249500,445,131600,872,891,241200,206100,233200,768,845,741,419300
456,206700,368,249500,872,876,182900,144700,191900,768,845,741,419300
457,178300,372,206700,872,862,152900,143300,211200,768,845,741,419300
458,81000,130,178300,872,862,170700,419300,222100,768,845,741,419300
459,122500,270,81000,872,832,147100,200600,211000,768,845,741,419300
460,87400,187,122500,872,808,106300,152900,121000,768,845,741,419300
461,130200,289,87400,822,804,500,145500,131600,768,759,741,419300
462,122800,279,130200,822,797,146400,118900,249500,768,759,741,419300
463,147800,243,122800,822,774,700,85000,206700,768,759,741,419300
464,140400,292,147800,822,742,121200,127100,178300,768,759,741,419300
465,127500,253,140400,822,733,123800,101500,81000,768,759,741,419300
466,77300,207,127500,822,703,139700,123700,122500,768,759,741,419300
467,61200,162,77300,822,693,93200,103700,87400,768,759,741,419300
468,95900,267,61200,695,677,70600,116700,130200,768,659,741,419300
469,15000,36,95900,695,676,126700,88100,122800,768,659,741,419300
